Icon_ItemMisc_CanvasCloth|CanvasCloth
Icon_CraftingUI_Item_Crafting_Magic_Green|UI_Item_Crafting_Magic_Green
IconSprites:Icon_ItemDyes_UI_Item_Dye_RedPurple_Light1_000|UI_Item_Dye_RedPurple_Light1_000
Icon_ItemWeapon_Weapon_Attachment_04|Weapon_Attachment_04
Icon_ItemArmor_Light_Armor_Shoulders_04|Light_Armor_Shoulders_04
Icon_ItemMisc_AncestralForceStone|AncestralForceStone
Icon_ItemWeaponUnidentified_Weapon_0005|Unidentified_Wrist_0005
IconSprites:Icon_ItemDyes_UI_Item_Dye_YellowOrange_Dark2_000|UI_Item_Dye_YellowOrange_Dark2_000
IconSprites:Icon_ItemMisc_UI_Icon_Token_Datascape_Chest|UI_Icon_Token_Datascape_Chest
IconSprites:Icon_ItemDyes_UI_Item_Dye_GreyWarm_Light2_000|UI_Item_Dye_GreyWarm_Light2_000
UI_Item_Crafting_PowerCore_Blue|UI_Item_Crafting_Tech_Blue
Icon_Piece_A0AA|Rune_Air
Icon_ItemMisc_EldanInsignia|EldanInsignia
Icon_ItemMisc_fur_0001|fur_0001
Icon_ItemWeaponUnidentified_Weapon_0002|Unidentified_Chest_0002
ClientSprites:Icon_TradeskillMisc_Stoutroot_plant|Stoutroot_plant
Icon_ItemMisc_BladeLeaf_Plant|BladeLeaf_Plant
IconSprites:Icon_ItemDyes_UI_Item_Dye_Tan_Dark1_000|UI_Item_Dye_Tan_Dark1_000
IconSprites:Icon_ItemDyes_UI_Item_Dye_RedOrange_Light1_Dull_000|UI_Item_Dye_RedOrange_Light1_Dull_000
Icon_ItemMisc_Windows_medium|Windows_medium
Icon_ItemMisc_Eye_02|Eye_02
ClientSprites:Icon_ItemWeapon_Toxic_Detonator|Toxic_Detonator
IconSprites:Icon_ItemDyes_UI_Item_Dye_Green_Dark1_Dull_000|UI_Item_Dye_Green_Dark1_Dull_000
Icon_ItemWeaponUnidentified_Weapon_0004|Unidentified_Ring_0004
Icon_ItemWeaponSword_sword1H_0001|sword1H_0001
Icon_ItemTBF_UI_TBTF_Wilderrun_Tract_01|UI_TBTF_Wilderrun_Tract_01
Icon_ItemMisc_Generic_tail_02|Generic_scale_02
IconSprites:Icon_CraftingUI_Item_Crafting_Small_CheeseWedge|UI_Item_Crafting_Small_CheeseWedge
Icon_ItemArmor_Light_Armor_Boots_03|Light_Armor_Boots_03
Icon_ItemWeaponUnidentified_Weapon_0007|Unidentified_Necklace_0007
Icon_ItemMisc_gadget_0002|gadget_0002
Icon_ItemMisc_Medishot_HealOverTime_InstantHeal|Medishot_HealOverTime
Icon_ItemMisc_chair_interior|Trim_interior
Icon_CraftingUI_Item_Crafting_Dexterity_Blue|UI_Item_Crafting_Dexterity_Purple
IconSprites:Icon_ItemDyes_UI_Item_Dye_Strain_Orange_000|UI_Item_Dye_Strain_Orange_000
CommunicatorIcon|Communicator_Device_02
ClientSprites:Icon_TradeskillMisc_Xenocite_ore|Xenocite_ore
IconSprites:Icon_ItemDyes_UI_Item_Dye_Blue_Dark2_000|UI_Item_Dye_Blue_Dark2_000
Icon_ItemArmorHands_UI_Item_Focal_Glove_001|UI_Item_Focal_Glove_001
IconSprites:Icon_ItemDyes_UI_Item_Dye_RedPurple_Light2_000|UI_Item_Dye_RedPurple_Light2_000
Icon_TradeskillMisc_Yellowbell_Plant|Yellowbell_Plant
Icon_ItemArmor_Medium_Armor_Chest_03|Medium_Armor_Chest_03
Icon_ItemArmorLegs_Unidentified_Legs_0001|Unidentified_Legs_0002
Icon_ItemMisc_letter_0004|belt_0004
ClientSprites:Icon_ItemMisc_LaserChainsaw|LaserChainsaw
Icon_ItemMisc_herb_0002|herb_0002
Icon_ItemWeapon_Psyblade_04|Psyblade_04
IconSprites:Icon_ItemDyes_UI_Item_Dye_BluePurple_Light2_000|UI_Item_Dye_BluePurple_Light2_000
IconSprites:Icon_Pets_Icon_PartyLopp|Icon_PartyLopp
UI_Item_Crafting_PowerCore_Blue|UI_Item_Crafting_Powder_AllSpice
IconSprites:Icon_ItemMisc_UI_CandyBowl_Cyan|UI_CandyBowl_Cyan
Icon_ItemMisc_rune_0001|rune_0001
Icon_ItemMisc_Slime|Rune_Life
Icon_ItemArmor_Heavy_Armor_Pants_03|Heavy_Armor_Pants_03
Icon_ItemWeapon_Launcher_03|Launcher_03
Icon_ItemMisc_egg_0002|UI_Item_Neck_002
Icon_ItemArmor_Heavy_Armor_Shoulders_02|Heavy_Armor_Shoulders_02
IconSprites:Icon_CraftingUI_Item_Crafting_Cup_Yogurt|UI_Item_Crafting_Cup_Yogurt
IconSprites:Icon_ItemMisc_UI_Icon_Token_Datascape_Shoulder|UI_Icon_Token_Datascape_Shoulder
Icon_ItemWeaponUnidentified_Weapon_0006|Unidentified_Weapon_0006
Icon_Slash|Flash_Gun
IconSprites:Icon_TradeskillMisc_Starshard_gem|Starshard_gem
Icon_ItemWeapon_Launcher_01|Water_Launcher
Icon_ItemArmor_Heavy_Armor_Gloves_03|Heavy_Armor_Gloves_03
IconSprites:Icon_ItemDyes_UI_Item_Dye_YellowOrange_Primary_000|UI_Item_Dye_YellowOrange_Primary_000
IconSprites:Icon_Pets_Icon_BarkbiterTerminite|Icon_BarkbiterTerminite
IconSprites:Icon_ItemMisc_Training_dummy|Training_dummy
Icon_ItemMisc_AncientWood|AncientWood
Icon_ItemArmor_Heavy_Armor_Helm_01|Heavy_Armor_Helm_01
IconSprites:Icon_ItemDyes_UI_Item_Dye_GreyWarm_Dark1_000|UI_Item_Dye_GreyWarm_Dark1_000
Icon_ItemMisc_Magma_Rifle|Magma_Rifle
Icon_ItemMisc_Table_large|Table_large
IconSprites:Icon_ItemArmor_Medium_Protogames_Boots|Medium_Protogames_Boots
IconSprites:Icon_ItemMisc_Eldan_Detonator|Eldan_Detonator
Icon_ItemTBF_UI_TBTF_Ellevar_Tract_02|UI_TBTF_Ellevar_Tract_01
Icon_ItemMisc_letter_0004|letter_0004
IconSprites:Icon_ItemMisc_MoodieTablet|MoodieTablet
Icon_ItemMisc_FAB_Kit|FAB_Kit
Icon_ItemArmor_Medium_Armor_Helm_02|Medium_Armor_Helm_02
IconSprites:Icon_Pets_Icon_CottonCandyRowsdower|Icon_CottonCandyRowsdower
Icon_ItemArmorFeet_Unidentified_Feet_0001|Unidentified_Feet_0005
Icon_ItemWeapon_Flash_Rifle|Flash_Glove
Icon_ItemMisc_Hologram_Emitter|Hologram_Emitter
Icon_ItemWeapon_Primal_Knife_01|Primal_Knife_01
IconSprites:Icon_ItemDyes_UI_Item_Dye_Green_Dark2_000|UI_Item_Dye_Green_Dark2_000
IconSprites:Icon_ItemArmor_Heavy_Protogames_Boots|Heavy_Protogames_Boots
Icon_ItemWeaponSword_sword2H_0004|sword2H_0004
Icon_ItemMisc_UI_Item_Donut|UI_Item_Donut
Icon_ItemTBF_UI_TBTF_Ellevar_Tract_02|UI_TBTF_Farside_Tract_02
IconSprites:Icon_ItemMisc_UI_CRB_Item_GuildCharter|UI_CRB_Item_GuildCharter
Icon_ItemArmor_Heavy_Armor_Chest_01|Heavy_Armor_Chest_01
Icon_ItemWeaponUnidentified_Weapon_0008|Unidentified_Face_0008
Icon_ItemWeaponUnidentified_Weapon_0009|Unidentified_Trinket_0009
IconSprites:Icon_ItemDyes_UI_Item_Dye_Red_Dark1_000|UI_Item_Dye_Red_Dark1_000
IconSprites:Icon_ItemDyes_UI_Item_Dye_BlueGreen_Dark2_000|UI_Item_Dye_BlueGreen_Dark2_000
IconSprites:Icon_ItemMisc_UI_CandyBowl_Purple|UI_CandyBowl_Purple
Icon_ItemTBF_UI_TBTF_Wilderrun_Tract_01|UI_TBTF_Wilderrun_Tract_02
Icon_MedKit|UI_Test
IconSprites:Icon_ItemMisc_UI_Icon_Token_GeneticArchives_Chest|UI_Icon_Token_GeneticArchives_Chest
ClientSprites:Icon_TradeskillMisc_AugmentedWood|AugmentedWood
QuestNew|QuartzGem
Icon_ItemArmor_Medium_Armor_Gloves_03|Medium_Armor_Gloves_03
IconSprites:Icon_ItemMisc_EMP_Detonator|EMP_Detonator
Icon_ItemWeaponUnidentified_Weapon_0003|Unidentified_Wrist_0003
Icon_ItemWeaponUnidentified_Weapon_0009|Unidentified_Shoulder_0009
Icon_ItemArmorHands_Unidentified_Hands_0002|Unidentified_Hands_0005
Icon_ItemWeaponUnidentified_Weapon_0005|Unidentified_Trinket_0005
Icon_ShootRifle|IronCoilVine
Icon_ItemArmor_Heavy_Armor_Pants_02|Heavy_Armor_Pants_02
Icon_ItemArmor_Light_Armor_Pants_02|Light_Armor_Pants_02
Icon_ItemMisc_bar|bar
ClientSprites:Icon_ItemMisc_Grilled_yellow_bell|Grilled_yellow_bell
Icon_ItemMisc_stone_0002|stone_0002
Icon_ItemArmor_Light_Armor_Chest_02|Light_Armor_Chest_02
ClientSprites:Icon_ItemWeapon_Water_Detonator|Water_Detonator
Icon_ItemArmor_Light_Armor_Shoulders_02|Light_Armor_Shoulders_02
Icon_ItemWeaponUnidentified_Weapon_0002|Unidentified_Wrist_0002
IconSprites:Icon_ItemDyes_UI_Item_Dye_Purple_Dark2_000|UI_Item_Dye_Purple_Dark2_000
Icon_ItemMisc_Generic_magic_orb|Generic_magic_orb
IconSprites:Icon_ItemDyes_UI_Item_Dye_Tan_Light1_Dull_000|UI_Item_Dye_Tan_Light1_Dull_000
ItemMisc_potion_0001|potion_0003
Icon_ItemMisc_Bag_0001|UI_Item_Bag_001
Icon_ItemMisc_Bowlofsoup_tomato|Bowlofsoup_tomato
UI_KeyCard_01|Eye_01
sprGuildCharter_Banner|build_names.py
Icon_ItemMisc_EldanInsignia|ExileInsignia
Icon_ItemWeaponUnidentified_Weapon_0007|Unidentified_Ring_0007
Icon_ItemArmor_Medium_Armor_Pants_03|Medium_Armor_Pants_03
Icon_ItemWeaponUnidentified_Weapon_0004|Unidentified_Wrist_0004
Icon_Slash|Rune_Earth
IconSprites:Icon_ItemDyes_UI_Item_Dye_Orange_Light2_Dull_000|UI_Item_Dye_Orange_Light2_Dull_000
Icon_ItemMisc_Support_System_04|Support_System_04
Icon_ItemMisc_Flower_01|UI_Item_Powerfist_001
Icon_ItemMisc_GenericWeldingGear|GenericWeldingGear
IconSprites:Icon_ItemWeapon_Psyblade_Protogames|Psyblade_Protogames
Icon_ItemMisc_Candle|Candle
Icon_ItemMisc_RegenerativeFuelCell|RegenerativeFuelCell
Icon_ItemTBF_UI_TBTF_Algoroc_Tract_02|UI_TBTF_Malgrave_Tract_02
IconSprites:Icon_CraftingUI_Item_Crafting_Droplet_CitricJuice|UI_Item_Crafting_Droplet_CitricJuice
Icon_ItemMisc_ResonatingIsotopicRock|ResonatingIsotopicRock
IconSprites:Icon_ItemDyes_UI_Item_Dye_Orange_Light1_000|UI_Item_Dye_Orange_Light1_000
Icon_ItemMisc_bench|bench
UI_Item_Arcane_Face|UI_Item_Hand
Icon_ItemMisc_Sofa|Sofa
IconSprites:Icon_Pets_Icon_DemonicRowsdower|Icon_DemonicRowsdower
Icon_ItemMisc_Bag_0003|UI_Item_Bag_003
Icon_ItemWeaponUnidentified_Weapon_0001|Unidentified_Shoulder_0010
IconSprites:Icon_ItemArmor_Ascendancy_Helm|Ascendancy_Helm
Icon_ItemMisc_Generic_Torch|GenericWrenches
Icon_CraftingUI_Item_Crafting_Special1_Blue|UI_Item_Crafting_Special1_Blue
Icon_ShootPistols|Roots
Icon_ItemMisc_GenericVoucher|GenericVoucher
Icon_ItemMisc_EMP_Explosive|Flash_Explosive
Icon_ItemMisc_Generic_rock_01|Generic_rock_02
Icon_ItemArmorWaist_UI_Item_Focal_Buckle|UI_Item_Focal_Buckle
Icon_ItemMisc_Crate_of_Cogs|Crate_of_Cogs
Icon_ItemMisc_fur_0003|fur_0003
Icon_ItemArmor_Medium_Armor_Pants_04|Medium_Armor_Pants_04
Icon_Slash|Icon_Goldclaw
Icon_ItemWeapon_Psyblade_01|UI_Item_Psyblade_001
Icon_ItemWeaponUnidentified_Weapon_0004|Unidentified_Necklace_0004
Icon_CCStates_Stun|Water_Gun
IconSprites:Icon_ItemWeapon_Greatsword_Protogames|Greatsword_Protogames
sprGuildCharter_Banner|OsunBanner
IconSprites:Icon_ItemDyes_UI_Item_Dye_Purple_Primary_Dull_000|UI_Item_Dye_Purple_Primary_Dull_000
ItemMisc_potion_0001|belt_0001
IconSprites:Icon_ItemDyes_UI_Item_Dye_RedPurple_Light2_Dull_000|UI_Item_Dye_RedPurple_Light2_Dull_000
Icon_ItemMisc_Wall_exterior|Wall_interior
UI_Item_Crafting_PowerCore_Blue|UI_Item_Crafting_Cup_SourCream
Icon_ItemArmorFeet_Unidentified_Feet_0001|Unidentified_Feet_0006
Icon_ItemMisc_Generic_tech_book|Generic_tech_key
IconSprites:Icon_ItemDyes_UI_Item_Dye_BluePurple_Primary_Dull_000|UI_Item_Dye_BluePurple_Primary_Dull_000
UI_Item_Arcane_Face|DrakenMaleFace
IconSprites:Icon_Pets_Icon_AugmentedSpider|Icon_AugmentedSpider
Icon_ItemArmor_Medium_Armor_Helm_04|Medium_Armor_Helm_04
Icon_ItemMisc_fur_0002|fur_0002
IconSprites:Icon_ItemDyes_UI_Item_Dye_BlueGreen_Light1_000|UI_Item_Dye_BlueGreen_Light1_000
UI_Item_Crafting_PowerCore_Blue|UI_Item_Crafting_Powder_SeaSalt
Icon_ItemTBF_UI_TBTF_Galeras_Track_03|UI_TBTF_Grimvaults_Tract_03
UI_Item_Crafting_PowerCore_Blue|UI_Item_Crafting_Challenge_Blue
Icon_ItemTBF_UI_TBTF_Galeras_Track_01|UI_TBTF_Galeras_Tract_04
ClientSprites:Icon_ItemMisc_Roasted_Crowncorn|Roasted_Crowncorn
Icon_ItemWeaponUnidentified_Weapon_0005|Unidentified_Chest_0005
UI_Item_Crafting_PowerCore_Blue|UI_Item_Crafting_PowerCore_Purple
Icon_ItemMisc_Flower_03|Flower_03
IconSprites:Icon_ItemDyes_UI_Item_Dye_Deluxe_Eldan_Green_000|UI_Item_Dye_Deluxe_Eldan_Green_000
Icon_ItemWeaponUnidentified_Weapon_0008|Unidentified_Necklace_0008
Icon_ItemWeapon_Corrupted_Gun|Corrupted_Gun
IconSprites:Icon_ItemDyes_UI_Item_Dye_Pink_Light1_000|UI_Item_Dye_Pink_Light1_000
Icon_ItemWeapon_Corrupted_Rifle|Corrupted_Rifle
Icon_ItemArmorLegs_Unidentified_Legs_0001|Unidentified_Legs_0009
Icon_ItemMisc_lamps_walls|lamps_walls
Icon_ItemMisc_egg_0001|egg_0001
Icon_ItemMisc_brewing_set|brewing_set
Icon_ItemWeaponUnidentified_Weapon_0005|Unidentified_Necklace_0005
Icon_ToxicShot|Toxic_Glove
Icon_ItemWeapon_Psyblade_03|Psyblade_03
Icon_ItemMisc_EldanInsignia|PellInsignia
Icon_ItemWeaponUnidentified_Weapon_0004|Unidentified_Shoulder_0004
Icon_ItemMount_Mechari_Mount|Chua_Mount
Icon_ItemMisc_Cog|Cog
Icon_ItemMisc_Eldeninfuser|EldenFocuser
Icon_ItemMisc_chair_interior|Lighting_interior
Icon_ItemWeapon_2H_Sword_01|2H_Sword_01
Icon_PowerSlash|Binoculars
IconSprites:Icon_CraftingUI_Item_Crafting_Spice_Shaker_RockSalt|UI_Item_Crafting_Spice_Shaker_RockSalt
Icon_ItemWeapon_Resonator_04|Resonator_04
Icon_ItemMount_Mechari_Mount|Mechari_Mount
Icon_ItemWeaponUnidentified_Weapon_0002|Unidentified_Head_0002
Icon_ItemMisc_Box_01|Boom_Box
Icon_ItemWeaponUnidentified_Weapon_0003|Unidentified_Necklace_0003
Icon_CraftingUI_Item_Crafting_Strength_Blue|UI_Item_Crafting_Strength
Icon_ItemWeaponUnidentified_Weapon_0002|Unidentified_Ring_0002
IconSprites:Icon_ItemDyes_UI_Item_Dye_Pink_Dark1_000|UI_Item_Dye_Pink_Dark1_000
IconSprites:Icon_ItemMisc_EMP_Glove|Frost_Glove
Icon_ItemMisc_Bottle_02|Bottle_02
Icon_ItemWeaponUnidentified_Weapon_0002|Unidentified_Buckle_0002
ClientSprites:Icon_ItemMisc_ResidualMegaFreezon|ResidualMegaFreezon
Icon_ItemWeaponUnidentified_Weapon_0003|Unidentified_Face_0003
IconSprites:Icon_ItemMount_Hoverboard_Berserker|Hoverboard_Berserker
Icon_ItemMisc_Water|Thick_leather
Icon_ItemMisc_bag_0004|bag_0004
Icon_ItemWeaponUnidentified_Weapon_0009|Unidentified_Face_0009
Icon_ItemArmorChest_shirt_0002|shirt_0002
Icon_MedKit|Thick_bone
ClientSprites:Icon_ItemMisc_GenericGland|GenericGland
Icon_ItemWeaponUnidentified_Weapon_0009|Unidentified_Buckle_0009
IconSprites:Icon_ItemDyes_UI_Item_Dye_Purple_Dark1_Dull_000|UI_Item_Dye_Purple_Dark1_Dull_000
IconSprites:Icon_ItemDyes_UI_Item_Dye_Orange_Light2_000|UI_Item_Dye_Orange_Light2_000
Icon_ItemMisc_Stone_0001|UI_Item_Staff_001
IconSprites:Icon_CraftingUI_Item_Crafting_Cup_CitricJuice|UI_Item_Crafting_Cup_CitricJuice
IconSprites:Icon_ItemMisc_CrowncornPlant|CrowncornPlant
Icon_ItemWeaponUnidentified_Weapon_0002|Unidentified_Shoulder_0002
IconSprites:Icon_ItemMisc_PavingStones|PavingStones
Icon_ItemMisc_hanging_plants|mannequins
IconSprites:Icon_ItemDyes_UI_Item_Dye_Purple_Primary_000|UI_Item_Dye_Purple_Primary_000
Icon_ItemMisc_SalvagedMachineParts|SalvagedMachineParts
Icon_Slash|Tacos
Icon_ItemWeapon_Pistol_01|UI_Item_Pistol_001
IconSprites:Icon_ItemMisc_Eldan_Grenade|Eldan_Grenade
Icon_ItemMisc_UI_Item_Bad_Meat|UI_Item_Bad_Meat
Icon_ItemWeaponUnidentified_Weapon_0006|Unidentified_Shoulder_0006
IconSprites:Icon_ItemDyes_UI_Item_Dye_Blue_Light1_000|UI_Item_Dye_Blue_Light1_000
IconSprites:Icon_ItemArmor_Ascendancy_Shoulders|Ascendancy_Shoulders
Icon_ItemMisc_letter_0002|letter_0002
IconSprites:Icon_Pets_Icon_EldanProbebot|Icon_EldanProbebot
Icon_ItemArmor_Medium_Armor_Helm_03|Medium_Armor_Helm_01
IconSprites:Icon_ItemDyes_UI_Item_Dye_Blue_Dark2_Dull_000|UI_Item_Dye_Blue_Dark2_Dull_000
Icon_ItemArmor_Medium_Armor_Shoulders_02|Medium_Armor_Shoulders_01
Icon_ItemMisc_tool_0003|tool_0003
Icon_ItemWeapon_Psyblade_01|Psyblade_01
IconSprites:Icon_ItemDyes_UI_Item_Dye_Red_Dark1_Dull_000|UI_Item_Dye_Red_Dark1_Dull_000
Icon_ItemMisc_egg_0004|egg_0004
ClientSprites:Icon_ItemMisc_Generic_thumb_drive|Generic_thumb_drive
Icon_PowerSlash|PowerCell
ClientSprites:Icon_ItemMisc_Tough_Jerky|Tough_Jerky
Icon_ItemMisc_letter_0003|letter_0003
Icon_ItemMisc_AirEnergyBall|WaterEnergyBall
Icon_ItemMisc_UI_Item_Lopp|UI_Item_Lopp
Icon_ItemMisc_Canteen|Canteen
IconSprites:Icon_ItemDyes_UI_Item_Dye_RedPurple_Dark2_000|UI_Item_Dye_RedPurple_Dark2_000
Icon_ItemMisc_meat_0002|meat_0002
Icon_ItemMisc_tool_0004|tool_0004
Icon_ItemMisc_Baked_stoutroot|Mashed_stroutroot
IconSprites:Icon_Pets_Icon_GoldPlatedEldanProbebot|Icon_GoldPlatedEldanProbebot
Icon_ItemMisc_BrokenEldanTech|BrokenEldanTech
Icon_ItemMisc_Generic_eggs|Generic_eggs
Icon_ItemWeaponUnidentified_Weapon_0007|Unidentified_Shoulder_0007
IconSprites:Icon_ItemDyes_UI_Item_Dye_YellowGreen_Light2_Dull_000|UI_Item_Dye_YellowGreen_Light2_Dull_000
IconSprites:Icon_ItemDyes_UI_Item_Dye_Red_Dark2_000|UI_Item_Dye_Red_Dark2_000
Icon_ItemMisc_Statues|Statues
AlertSprites_UI_quest|Spores
UI_Item_Crafting_PowerCore_Blue|UI_Item_Crafting_Powder_FirePepper
Icon_CraftingUI_Item_Crafting_Special1_Green|UI_Item_Crafting_Special1_Green
Icon_ItemMisc_Generic_tech_book|Generic_tech_book
Icon_ItemMisc_Generic_tail_02|Generic_tail_02
Icon_ItemWeaponUnidentified_Weapon_0005|Unidentified_Weapon_0005
Icon_ItemMisc_BBQ|BBQ
Icon_ItemWeapon_Claws_01|Claws_01
Icon_ItemMisc_AurinFemaleFace|DrakenFemaleFace
Icon_ItemArmorShoulders_shoulder_0001|shoulder_0001
ClientSprites:Icon_ItemMisc_Bug_ricebowl|Bug_ricebowl
Icon_ItemMisc_Generic_rope_01|Generic_rope_01
Icon_ItemMisc_EMP_Explosive|Eldan_Explosive
ClientSprites:Icon_ItemMisc_PristineEldanTech|PristineEldanTech
IconSprites:Icon_ItemDyes_UI_Item_Dye_RedOrange_Light2_Dull_000|UI_Item_Dye_RedOrange_Light2_Dull_000
Icon_ItemMisc_Baked_stoutroot|Baked_stoutroot
IconSprites:Icon_ItemDyes_UI_Item_Dye_BluePurple_Light1_Dull_000|UI_Item_Dye_BluePurple_Light1_Dull_000
IconSprites:Icon_ItemArmor_Ascendancy_Pants|Ascendancy_Pants
Icon_ItemArmor_Medium_Armor_Helm_05|Medium_Armor_Helm_05
IconSprites:Icon_ItemWeapon_Flash_Grenade|Flash_Grenade
Icon_ShootRifle|Sticky_Rifle
Icon_ItemArmor_Light_Armor_Chest_05|Light_Armor_Chest_05
Icon_ItemArmorShoulders_shoulder_0004|shoulder_0004
Icon_ItemArmor_Medium_Armor_Boots_03|Medium_Armor_Boots_03
IconSprites:Icon_ItemMisc_Anniversary_BoomBox|Anniversary_BoomBox
IconSprites:Icon_ItemMisc_UI_Icon_Token_GeneticArchives_Shoulder|UI_Icon_Token_GeneticArchives_Shoulder
Icon_ItemMisc_pick_0001|UI_Item_Neck_001
Icon_ItemWeaponUnidentified_Weapon_0001|Unidentified_Necklace_0010
IconSprites:Icon_ItemDyes_UI_Item_Dye_Brown_Dark2_000|UI_Item_Dye_Brown_Dark2_000
Icon_ItemMisc_Shields_03|Shields_03
Icon_ItemMisc_Coin_01|Coin_01
Icon_ItemMisc_egg_0003|egg_0003
ClientSprites:Icon_TradeskillMisc_RockhideLeather|RockhideLeather
Icon_Potion_Blue|Rune_Fusion
Icon_ItemMisc_EMP_Explosive|Corrupted_Explosive
Icon_ItemMisc_Beverage_Cup_01|Beverage_Cup_01
Icon_ItemArmorHands_Unidentified_Hands_0002|Unidentified_Hands_0006
Icon_ItemMisc_EldanBanner|AscendancyBanner
Icon_ItemMisc_UI_Item_Medpack|UI_Item_Medpack
Icon_ItemWeaponUnidentified_Weapon_0008|Unidentified_Wrist_0008
Icon_ShootRifle|Toxic_Rifle
ClientSprites:Icon_ItemWeapon_Flash_Detonator|Flash_Detonator
ClientSprites:Icon_TradeskillMisc_EldenDisruptor|EldenDisruptor
Icon_ItemMisc_Horn_02|Horn_02
IconSprites:Icon_ItemMount_Hoverboard_GoGo|Hoverboard_GoGo
Icon_ItemWeapon_Launcher_01|Corrupted_Launcher
Icon_ItemTBF_UI_TBTF_Wilderrun_Tract_01|UI_TBTF_Deradune_Tract_02
Icon_CCStates_vulnerable|Casserole
Icon_ItemMisc_potion_0001|UI_Item_Potion_001
Icon_ItemArmorFeet_UI_Item_Reflex_Boot_001|UI_Item_Reflex_Boot_001
IconSprites:Icon_Pets_Icon_CarrotSproutling|Icon_CarrotSproutling
IconSprites:Icon_ItemDyes_UI_Item_Dye_Orange_Dark1_000|UI_Item_Dye_Orange_Dark1_000
Icon_ItemWeapon_Launcher_02|Launcher_02
Icon_ItemMisc_Generic_rope_02|Generic_ring_02
IconSprites:Icon_Pets_Icon_Bumblebuzz|Icon_Bumblebuzz
Icon_ItemTBF_UI_TBTF_Algoroc_Tract_01|UI_TBTF_Arkship_Tract_01
ClientSprites:Icon_ItemWeapon_Corrupted_Detonator|Corrupted_Detonator
Icon_ItemTBF_UI_TBTF_Galeras_Track_01|UI_TBTF_Galeras_Track_01
IconSprites:Icon_ItemDyes_UI_Item_Dye_GreyCool_Light1_000|UI_Item_Dye_GreyCool_Light1_000
Icon_ItemWeapon_Launcher_04|Launcher_04
IconSprites:Icon_ItemDyes_UI_Item_Dye_YellowGreen_Light2_000|UI_Item_Dye_YellowGreen_Light2_000
IconSprites:Icon_ItemDyes_UI_Item_Dye_BluePurple_Dark1_000|UI_Item_Dye_BluePurple_Dark1_000
Icon_ItemWeaponUnidentified_Weapon_0001|Unidentified_Head_0010
ClientSprites:Icon_ItemMisc_AnnihiliteIngot|AnnihiliteIngot
IconSprites:Icon_Pets_Icon_RowsdowerCalf|Icon_RowsdowerCalf
Icon_ItemArmorFeet_Unidentified_Feet_0001|Unidentified_Feet_0007
Icon_ItemArmor_Medium_Armor_Shoulders_03|Medium_Armor_Shoulders_03
IconSprites:Icon_ItemDyes_UI_Item_Dye_YellowOrange_Dark1_000|UI_Item_Dye_YellowOrange_Dark1_000
Icon_ItemMisc_MaraudersBanner|MaraudersBanner
IconSprites:Icon_ItemDyes_UI_Item_Dye_Green_Light1_000|UI_Item_Dye_Green_Light1_000
Icon_ItemArmorLegs_pants_0002|pants_0002
Icon_ItemMisc_UI_Item_Crafting_Special_3|UI_Item_Crafting_Special_3
IconSprites:Icon_ItemDyes_UI_Item_Dye_RedPurple_Light2_000|UI_Item_Dye_Purple_Light2_000
Icon_ItemMisc_Box_02|Box_02
Icon_CraftingUI_Item_Crafting_Challenge_Green|UI_Item_Crafting_Challenge_Green
IconSprites:Icon_Pets_Icon_SpottedBlueJabbit|Icon_SpottedBlueJabbit
UI_Item_Arcane_Face|UI_Item_Reflex_Face
IconSprites:Icon_ItemMisc_Amp_Green|Amp_Green
ClientSprites:Icon_ItemMisc_Meat_pasta|Meat_pasta
IconSprites:Icon_ItemMisc_ManaweaveCloth|ManaweaveCloth
Icon_ItemMisc_UI_Item_Crafting_Wisdom|UI_Item_Crafting_Wisdom
Icon_ItemArmorFeet_boot_0002|boot_0002
Icon_ItemArmorFeet_Unidentified_Feet_0001|Unidentified_Feet_0008
Icon_ItemMisc_tool_0001|tool_0001
Icon_ItemMisc_UI_Item_Blueprints|UI_Item_Blueprints
Icon_ItemTBF_UI_TBTF_Whitevale_Track_03|UI_TBTF_Whitevale_Track_03
IconSprites:Icon_CraftingUI_Item_Crafting_Spice_Shaker_KosherSalt|UI_Item_Crafting_Spice_Shaker_KosherSalt
Icon_ItemWeaponUnidentified_Weapon_0006|Unidentified_Ring_0006
IconSprites:Icon_ItemMount_Hoverboard_Manta|Hoverboard_Manta
sprGuildCharter_Banner|build_names.py~
Icon_ItemWeapon_Sticky_Grenade|Toxic_Grenade
Icon_ItemArmor_Light_Armor_Helm_04|Light_Armor_Helm_04
IconSprites:Icon_CraftingUI_Item_Crafting_Cup_CitricAcid|UI_Item_Crafting_Cup_CitricAcid
Icon_ItemArmorLegs_pants_0003|pants_0003
IconSprites:Icon_ItemDyes_UI_Item_Dye_Tan_Primary_000|UI_Item_Dye_Tan_Primary_000
ClientSprites:Icon_TradeskillMisc_EldenPowercore|EldenPowercore
CommunicatorIcon|DominionIcon
IconSprites:Icon_ItemArmor_Medium_Protogames_Hands|Medium_Protogames_Hands
Icon_ItemMisc_bust|Ribs
IconSprites:Icon_ItemDyes_UI_Item_Dye_YellowGreen_Dark1_000|UI_Item_Dye_YellowGreen_Dark1_000
ClientSprites:Icon_TradeskillMisc_ReinforcedLeather|ReinforcedLeather
Icon_ItemMisc_EMP_Gun|Frost_Gun
